date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
20150121,109.73103,24.301673,24.156429,23.707984,105.5731,24.950001,119.30031,104.65739,79.248015,108.83065,30.414977,50.436349,93.023926,27.471786,87.175739,28.108657,98.137797,21.612183,84.591371,107.60666,123.18379,131.46105,137.85591,33.559359,108.63897,51.56183,49.92161,37.679159,51.652407,30.375538,41.593552,61.579514,45.83597,27.482215,44.854684,56.689999,45.740002,110.260002,47.998296,75.827623,23.261096,55.04253,40.441774,49.102915,48.38546,70.071952,69.266501,108.175797,50.610503,155.061961,297.25,129.929153,15.316025,61.252128,147.179993,47.644221,122.220001,55.294218,27.417268,98.843879,104.73133,93.625473,23.620112,103.206132,520.390015,175.441754,102.455805,148.662046,35.663897,99.696422,55.160441,42.651298,70.808668,83.425176,88.014642,72.405449,159.410841,53.161945,61.195552,45.004328,92.985713,43.177011,96.043525,31.840243,89.275011,82.486928,70.094443,40.25775,80.748369,33.077683,108.495937,112.532742,109.289965,116.982159,63.986297,47.156016,74.682806,51.077067,85.002165,89.597343
20150122,109.69162,24.311621,24.107111,23.668519,105.63283,24.950001,119.24146,104.66732,79.099672,108.85037,30.385216,50.426376,92.760564,27.096811,87.292118,28.147493,98.342189,21.660146,84.56146,107.33961,123.0052,130.98803,137.52004,33.480352,108.76769,51.423622,50.110479,37.816817,52.52351,30.365572,41.525287,61.618551,46.094483,27.404636,44.7582,56.689999,45.73,110.269997,48.60323,76.182834,23.836424,55.924082,41.106053,49.596809,48.178979,70.90673,70.567977,110.990045,52.054238,157.219707,310.320007,133.098632,15.991878,61.39055,150.149994,49.470548,123.709999,56.087392,28.067246,99.618734,105.467233,94.599809,23.85592,104.760499,537.299988,180.2846,104.969451,151.88767,36.084278,101.5162,56.83825,43.064432,71.02431,84.082848,88.550488,74.803774,162.696354,53.543982,61.618881,46.190203,95.31259,43.732978,97.522635,32.00608,90.150738,83.082044,70.407765,40.975841,80.679613,32.873381,112.991788,117.874113,111.804964,118.377727,64.065884,46.716218,75.107646,52.71428,86.630788,90.572605
20150123,110.04626,24.341462,24.126837,23.707984,105.7722,24.950001,119.93786,104.74681,79.188678,109.19549,30.424897,50.426376,93.677443,26.919193,87.292118,28.118364,98.449252,21.880776,84.601344,108.04182,123.37229,132.81115,138.63631,33.79639,109.00536,51.443366,50.229765,37.590664,52.31563,30.375538,41.954386,62.14554,46.104424,27.792529,45.36604,57.150002,45.740002,110.269997,47.849539,75.640156,23.578518,55.458546,41.09614,49.04365,48.316633,70.499281,70.468629,111.562771,51.287563,157.456162,312.390015,132.097738,15.634073,61.370775,149.119995,48.522453,123.889999,55.829612,27.781649,99.956496,103.462852,94.172296,24.052426,105.159057,541.950012,178.749559,104.276717,152.356848,35.634569,99.98993,55.940129,42.602116,70.700847,84.092815,87.254721,76.260598,160.862359,53.083577,61.520434,46.239205,95.620857,43.87197,97.157785,31.6549,88.635433,80.799138,70.672122,43.689737,80.542103,32.464772,111.155735,118.129864,100.727221,117.915819,64.237489,46.080958,74.682806,52.214291,86.836817,88.641583
20150126,109.8788,24.35141,24.097247,23.71785,105.7722,24.959999,119.90844,104.62758,79.079888,108.9687,30.405057,50.406432,93.667687,27.017869,87.689734,28.147493,98.614711,21.631367,84.551495,107.79457,123.18379,132.4071,138.19178,33.677873,108.76769,51.532215,50.358994,38.092137,52.22654,30.335676,41.925131,62.14554,45.975172,27.588886,45.153777,57.029999,45.740002,110.260002,48.057795,76.725521,23.69755,55.527881,40.927589,49.04365,48.287137,70.866978,70.836225,111.681261,50.988859,157.377338,309.660004,131.558055,15.753342,61.756381,149.699997,48.791912,124.120003,56.206368,27.545293,100.343924,105.4285,94.42085,24.160505,106.723389,536.719971,178.680226,105.256443,152.835809,35.008888,100.048637,56.028955,42.297182,70.681246,83.305596,88.33615,74.912781,161.078125,53.328473,61.845312,46.072593,95.809786,43.58406,97.31556,31.996323,88.143451,81.023529,71.093139,43.640214,82.192234,32.279928,110.768675,119.34963,100.159632,116.706977,63.79977,45.895263,74.929806,52.528012,86.954544,89.490064
20150127,110.02656,24.341462,24.176157,23.727714,105.85184,24.950001,119.99671,104.66732,79.139225,109.10675,30.434818,50.456289,93.696947,27.353372,87.621848,28.108657,98.420054,21.871183,84.601344,107.94292,123.30284,132.61406,138.40911,33.717379,108.84691,51.55196,50.319231,38.121634,51.375239,30.345642,41.915376,62.165058,46.502135,27.724648,45.221315,57.18,45.740002,110.260002,47.730536,76.676183,23.439645,54.794903,39.74775,48.480612,48.355964,70.360152,70.269933,107.770937,50.252057,156.549714,306.75,129.997834,15.534683,61.291678,147.649994,48.213077,122.360001,55.879185,26.491541,100.155174,104.828158,93.426632,23.954172,104.650895,521.190002,174.78813,104.068897,150.206436,33.425126,99.882308,55.466395,41.697152,70.308778,81.482039,87.264465,74.585744,160.479868,53.446025,61.589348,41.809336,93.97016,43.087659,95.372995,31.801222,85.103,79.608905,70.270683,43.749163,83.046769,31.919966,109.180738,118.8873,98.691733,117.109927,62.421957,45.299093,74.030731,51.929988,85.875339,88.700096
20150128,110.29254,24.35141,24.264932,23.855973,105.97129,24.950001,120.81081,104.74681,79.317244,109.50117,30.464577,50.416406,94.594321,27.23496,87.43759,28.089237,98.497913,21.64096,84.661173,108.77371,123.74931,134.78207,139.42661,34.05317,109.07467,51.700039,50.378876,37.620161,50.632822,30.365572,42.354231,62.799393,46.293339,27.773134,45.452874,57.509998,45.73,110.25,46.867754,73.656894,23.01311,54.31946,39.678348,47.917569,47.942999,69.346484,69.355912,113.863538,48.997496,152.362313,303.910004,137.023687,15.107305,60.639113,144.779999,47.015484,118.970001,54.124284,26.402907,98.943218,100.422391,92.134146,23.423605,102.080206,512.429993,171.381299,103.653249,148.134224,33.024299,99.285506,54.035322,41.234832,69.563834,80.455667,86.494799,72.752319,160.783898,52.907252,60.496569,40.368647,92.78683,42.382765,94.386922,31.167151,83.784493,78.613797,69.506979,43.367833,79.314327,31.793491,107.642419,117.205212,97.174909,114.908459,61.270461,45.005896,72.884649,51.13589,85.178762,85.77431
20150129,110.23344,24.341462,24.255068,23.826375,105.83192,24.950001,120.52637,104.80643,79.327136,109.3434,30.444738,50.426376,94.165143,27.027737,87.747927,28.186332,98.682842,21.688924,84.631255,108.38798,123.57072,133.89515,138.79438,33.835892,109.02516,51.650679,50.160181,38.131466,50.989179,30.375538,42.31522,62.692043,46.084539,27.870107,45.375687,57.310001,45.73,110.279999,47.482611,73.903568,23.201578,54.943481,40.055105,48.30281,48.58211,69.932823,70.299737,117.408509,49.047279,154.066827,311.779999,145.011174,15.335903,60.451251,146.289993,47.53455,120.870003,53.410426,26.806682,99.449857,99.734898,92.680969,23.659413,103.803965,513.22998,174.292952,106.503372,151.975638,33.444679,100.166038,54.943311,41.411891,70.681246,81.093413,90.869224,72.355902,162.931739,53.279494,61.126639,41.172296,94.338088,42.551544,94.692602,31.050091,84.29615,79.23818,62.359481,44.100784,80.443882,32.065894,108.565409,118.129864,98.270935,114.446544,61.678334,45.064537,73.675051,51.724108,86.06175,85.413467
20150130,110.43045,24.341462,24.333978,23.875706,106.00116,24.950001,121.51702,104.78655,79.485379,109.71809,30.454658,50.426376,95.228326,27.086945,87.505476,28.137784,98.4386,21.698517,84.730968,109.33746,124.15608,136.27012,140.13787,34.211189,109.1836,51.808632,50.358994,37.512004,49.890405,30.385504,42.81259,63.228793,45.448205,27.908898,45.501115,57.810001,45.73,110.260002,47.294186,74.544922,22.82464,54.052022,39.559373,47.433555,47.510373,68.83965,69.534741,115.690337,48.658964,150.017363,354.529999,142.646325,15.05761,59.591053,143.910004,46.865754,119.160004,52.696571,25.96959,97.512719,99.279796,90.434035,23.472731,104.45162,537.549988,170.747471,103.33657,149.85455,32.300855,97.97448,53.670153,40.497091,70.573425,81.741125,90.060594,70.760325,159.175471,52.015832,59.34472,39.594403,91.732775,41.588524,92.473938,30.484302,82.938283,78.28209,61.155176,43.348023,80.925169,32.026978,105.449079,115.296875,96.724746,112.805277,63.396872,44.673605,72.864893,50.9006,83.373549,85.257422
20150202,110.34456,24.346439,24.301364,23.862854,105.89358,24.950001,121.63012,104.81241,79.441796,109.57879,30.49537,50.416401,95.163761,27.136282,87.841416,28.167987,98.604682,21.777672,84.704034,109.20075,124.08854,135.75565,139.54414,34.10255,109.26189,52.030163,50.29434,38.003642,50.583325,30.398464,42.725513,63.113257,45.727153,28.015567,45.626186,57.790001,45.73,110.279999,47.720617,76.824189,23.191659,54.854335,39.965873,47.996594,47.716853,69.227234,70.160648,117.141891,50.242098,150.253833,364.470001,143.519649,15.36572,59.551503,146.729996,47.634373,118.57,53.35094,26.422604,98.456451,102.697894,91.398427,23.787141,105.806712,532.200012,173.797773,103.346468,151.174128,32.89721,98.649561,54.745925,40.910228,70.26957,82.687784,90.128792,72.108141,161.254653,52.70154,59.935413,40.456853,91.404624,42.372839,94.002354,30.874501,83.754975,79.638172,64.161042,43.575831,83.135165,32.64962,106.48124,117.067498,97.98714,114.574312,63.503812,45.91481,73.99121,51.773129,84.089745,87.363992
20150203,109.95953,24.356393,24.182772,23.724462,105.8637,24.950001,120.64662,104.76269,79.382373,109.33179,30.475512,50.466278,94.097477,27.461918,88.338028,28.197218,98.897773,21.92247,84.634212,108.27944,123.58197,132.88216,138.43585,33.717379,109.02404,51.624682,50.334126,38.544444,51.305947,30.388494,42.187409,62.613914,46.255156,28.122238,45.94613,57.439999,45.740002,110.290001,48.771821,78.925849,23.578518,55.74579,40.421945,48.421343,47.893838,69.694308,71.650891,117.161645,51.108344,149.987806,363.549988,144.579416,15.793098,59.185672,148.289993,48.792291,117.599998,54.937289,26.708201,99.469722,106.057896,93.555878,24.0426,106.793136,533.299988,178.501969,106.12731,154.898252,32.94609,100.24431,55.979608,40.949575,69.485418,83.514855,91.502495,74.119953,162.745394,53.152147,60.073241,40.770471,92.826606,42.730249,94.860233,31.235436,84.571659,80.233288,65.561169,43.983406,85.531786,33.40846,106.997317,119.802121,98.417726,116.844568,64.610544,46.74554,73.892412,52.400563,84.560674,89.96794
20150204,110.01877,24.366347,24.21242,23.754118,105.83382,24.950001,120.81381,104.81241,79.421991,109.40095,30.455651,50.496204,93.608354,27.23496,87.968,28.23619,98.917309,21.806633,84.644189,108.45776,123.6515,133.10928,138.83168,33.737131,109.05377,51.684018,50.254549,38.269124,51.711801,30.398464,42.226545,62.38872,45.687303,27.831319,45.897654,57.529999,45.73,110.269997,48.454477,77.62341,23.519,55.319871,40.50126,48.441099,47.313723,68.819778,72.127765,118.060226,51.287563,149.219295,364.75,144.461669,15.693707,58.572657,147.529999,48.313153,116.57,56.414579,26.28473,99.797548,104.915302,100.694361,23.738015,98.074719,526.099976,177.056041,107.285176,153.422291,33.083937,99.168098,55.644046,40.998757,68.828695,83.883555,91.629153,73.465863,161.637144,52.926844,58.133805,41.005687,92.02115,42.114708,95.254663,31.560189,84.414229,80.077196,65.561169,44.087785,83.046769,33.476561,107.106489,118.474157,98.378581,115.763494,65.87893,46.716218,73.77385,52.331483,85.011978,89.197482
20150205,109.83119,24.336488,24.182772,23.694806,105.90354,24.950001,120.43024,104.88202,79.39228,109.35155,30.49537,50.48623,93.197485,27.382976,88.484091,28.333624,99.063855,21.825939,84.614266,108.06149,123.48265,131.64784,138.09941,33.588987,109.13306,51.59501,50.204812,38.672271,51.642506,30.398464,42.011302,62.075406,45.986172,27.976778,46.013997,57.27,45.73,110.269997,49.624684,78.738382,23.757068,55.795319,40.878017,48.688046,47.746353,69.982507,72.574842,118.902885,51.397088,151.101167,373.890015,145.815818,15.87261,59.551503,149.669998,48.452901,120.019997,56.483981,26.846075,100.095572,105.844869,102.046497,24.072077,99.539415,529.830017,179.026857,107.859153,154.350876,33.418715,100.24431,56.028955,41.10696,69.995119,85.517779,91.911682,74.645204,163.343652,52.574194,58.251942,41.603524,92.81666,42.849384,95.264526,32.465566,85.309632,80.555238,66.530485,44.555008,84.392407,33.603035,107.999706,120.844817,99.288679,118.04358,67.597461,46.774859,73.892412,52.963052,85.630065,90.07522
20150206,109.37706,24.286719,24.02465,23.566299,105.66448,24.950001,119.17136,104.58369,79.184284,108.78839,30.396071,50.496204,92.277939,27.086945,88.552252,28.343368,99.347174,21.941777,84.41477,106.85288,122.50925,129.31744,137.01094,33.223568,108.70691,51.456554,50.035704,38.210129,50.514033,30.358585,41.688441,61.438984,45.398394,27.773134,45.907348,56.860001,45.73,110.269997,49.505677,78.758113,23.945537,55.666551,40.749126,48.470732,45.779864,69.346484,72.465557,117.901617,51.875015,149.170029,374.279999,145.227054,16.389438,58.99781,150.179993,49.051823,118.75,56.434405,26.826378,99.94656,106.135362,101.43008,24.091728,97.128151,533.880005,181.661196,107.908637,154.262284,32.788545,98.913719,57.134334,40.772517,68.96592,83.863629,91.570693,73.80282,162.872896,52.241139,57.877841,41.564321,91.275355,42.670679,95.363132,32.642701,84.237115,79.286956,64.963912,44.2369,84.628145,33.924082,106.788901,119.821791,98.515585,117.748738,66.508148,48.21153,75.236091,53.73278,85.679123,89.908176
20150209,109.20923,24.286719,24.004886,23.566299,105.76409,24.950001,119.25004,104.58369,79.174386,108.80815,30.42586,50.526133,92.434454,27.086945,88.338028,28.353111,99.386254,21.970737,84.404801,106.80334,122.44965,129.11007,136.66459,33.184062,108.7961,51.416997,50.224708,38.033139,50.26656,30.398464,41.571037,61.458567,45.577716,27.705253,45.907348,56.799999,45.720001,110.269997,49.446177,78.83705,23.826504,55.517974,40.68964,48.105251,45.376734,68.531579,72.18738,118.684787,51.914843,147.800503,370.559998,144.814925,16.250293,58.187047,149.130005,49.121697,118.120003,56.602957,26.708201,98.903481,106.929368,101.141763,24.209631,96.550243,529.280029,180.462872,107.215895,153.307494,32.424229,97.622264,57.065248,40.556111,68.23078,84.292107,90.333386,72.960437,161.666565,52.074608,57.424979,41.515319,90.658829,43.087659,94.63344,32.544293,83.686098,78.857697,65.708037,44.147432,84.786214,33.700321,105.687268,117.500311,98.31008,117.26717,66.020685,47.97697,75.48309,53.49594,84.285969,89.96713
20150210,108.92293,24.296672,23.915943,23.467447,105.67444,24.959999,118.92548,104.60358,79.085244,108.65007,30.396071,50.48623,91.876854,27.096811,88.639886,28.421314,99.415561,21.951431,84.384848,106.53587,122.29074,128.08312,136.2094,33.055674,108.73664,51.248869,50.155072,38.357619,50.583325,30.398464,41.39493,61.203997,45.179221,27.472517,45.684356,56.580002,45.73,110.260002,49.813105,78.797582,24.014972,55.825033,41.294433,48.66829,46.310813,69.684376,73.07159,120.964894,52.183678,151.118642,373,145.266298,16.319865,59.156011,149.919998,49.301374,120.160004,56.920226,27.072582,101.009504,106.687293,101.330659,24.288234,97.965116,540.159973,182.780304,109.521722,156.073425,33.182403,98.179938,57.696893,41.70699,69.103146,83.933382,91.599919,74.199238,162.627709,52.672154,57.936907,41.750531,92.229972,43.673413,96.625305,33.607126,84.020642,79.101597,68.792233,45.320455,84.193443,33.904624,108.148577,118.897139,98.916814,117.345796,65.794365,48.387446,75.769611,53.851199,85.639878,89.426702
20150211,108.70573,24.266811,23.886294,23.418022,105.87366,24.950001,119.00416,104.59363,78.986203,108.80815,30.41593,50.446327,91.896424,26.929061,88.610675,28.431058,99.356938,21.961084,84.394825,106.49624,122.26093,128.3201,136.15003,33.065549,108.74655,51.298317,50.08544,38.151132,50.533831,30.408434,41.375362,61.194208,44.551596,27.511307,45.752223,56.419998,45.720001,110.269997,49.733771,78.245034,24.014972,55.844843,41.453067,48.895481,45.307907,69.753941,73.091457,123.800164,52.024369,151.653499,375.140015,146.046296,16.260232,58.641868,149.679993,49.590855,118.379997,57.287069,26.521086,101.913499,106.493636,101.280953,24.337362,99.619128,538,185.840504,109.165456,155.71907,33.034705,98.209288,57.608068,41.677478,69.053784,84.162568,91.785031,73.723535,162.316843,53.641939,57.828617,41.53492,90.798043,43.047945,99.001744,33.705535,84.266633,80.467438,68.743275,45.126609,83.709347,33.457103,109.02194,120.146406,98.750454,117.276628,66.272744,48.680647,78.575523,53.190026,84.707833,89.023832
20150212,108.67612,24.246905,23.856645,23.447676,105.70433,24.950001,119.30905,104.59363,79.144674,108.87731,30.445721,50.436353,91.935554,27.225092,88.600935,28.460287,99.220165,22.192761,84.424747,106.53587,122.4,127.8955,136.08077,32.996416,108.86547,51.209309,50.334126,38.7411,51.286149,30.408434,41.287308,61.12567,45.458169,27.685858,45.897654,56.34,45.720001,110.260002,50.58663,79.271192,24.253041,56.369811,42.018201,49.122671,45.101423,70.002387,73.9558,125.366504,52.223506,151.722825,377.170013,146.21414,16.568341,58.809951,149.789993,50.798682,115.720001,57.881952,29.012668,102.320799,108.40037,102.981064,24.455265,100.436168,546.01001,187.949969,110.996268,156.034059,33.605799,96.311245,58.792404,41.480746,69.626355,87.21179,92.642377,74.258698,163.728044,54.406016,57.966445,42.230762,91.484177,43.57413,98.87355,34.315678,84.650378,81.647912,68.919515,45.643535,84.924527,33.671136,109.012014,121.808824,99.239754,118.165905,67.49859,48.397221,79.000363,54.13738,84.266342,90.763043
